Text,Tag,Markers
What is your favorite animal?,non-tech,questions_csv
I enjoy cooking,non-tech,tech_csv_xlsx
"I think virtual reality technology has a lot of potential for education.,1",tech,tech_csv_xlsx
"I prefer using a digital calendar over a physical one.,1",tech,tech_csv_xlsx
"I think online shopping is very convenient.,1",non-tech,tech_csv_xlsx
"I'm interested in learning about the history of ancient civilizations.,0",non-tech,tech_csv_xlsx
"I'm amazed by how much storage capacity is available on modern devices.,1",tech,tech_csv_xlsx
"I'm saving up to buy a new laptop for gaming.,1",tech,tech_csv_xlsx
I think online education can be a more affordable option for many people.,non-tech,tech_csv_xlsx
"The development of renewable energy is crucial for the future of our planet.,1",tech,tech_csv_xlsx
"I find it fascinating to learn about the universe and space exploration.,1",tech,tech_csv_xlsx
"I'm trying to reduce my carbon footprint by biking to work.,1",non-tech,tech_csv_xlsx
"The cloud is changing the way we store and access data.,1",tech,tech_csv_xlsx
"I'm fascinated by the concept of 3D printing and its potential applications.,1",tech,tech_csv_xlsx
"I think the internet is a powerful tool for education.,1",tech,tech_csv_xlsx
"I'm concerned about the privacy implications of facial recognition technology.,1",tech,tech_csv_xlsx
"I'm impressed by the advancements in renewable energy.,1",tech,tech_csv_xlsx
"I love watching movies on my smart TV.,1",non-tech,tech_csv_xlsx
"I'm learning to code so I can build my own website.,1",tech,tech_csv_xlsx
"I need to buy a new laptop for work.,1",non-tech:tech,tech_csv_xlsx
"I find it challenging to learn a new language.,0",non-tech,tech_csv_xlsx
"I prefer using a wireless keyboard and mouse over a wired one.,1",tech,tech_csv_xlsx
"I'm excited to see what new technology will be invented in the future.,1",tech,tech_csv_xlsx
"Video conferencing has become a staple of modern communication.,1",tech,tech_csv_xlsx
"The use of voice assistants like Siri and Alexa is becoming more common.,1",tech,tech_csv_xlsx
"I prefer to read physical books rather than ebooks.,0",non-tech,tech_csv_xlsx
"Smart home technology can make your life more convenient.,1",tech,tech_csv_xlsx
"Virtual reality has the potential to revolutionize entertainment.,1",tech,tech_csv_xlsx
